stem,n_coco,n_yolo,max_coord_diff,status
0019_0649_5,14,14,1e-06,OK
0019_0650_5,14,14,9.62963e-07,OK
0019_0651_5,15,15,9.58333e-07,OK
0019_0652_5,16,16,9.62963e-07,OK
0019_0653_5,17,17,9.79167e-07,OK
0019_0654_5,16,16,1e-06,OK
0019_0655_5,15,15,9.58333e-07,OK
0019_0656_5,17,17,1e-06,OK
0019_0657_5,17,17,9.375e-07,OK
0019_0658_5,15,15,9.62963e-07,OK
0019_0659_5,15,15,1e-06,OK
0019_0660_5,14,14,9.375e-07,OK
0019_0661_5,14,14,1e-06,OK
0019_0662_5,14,14,9.62963e-07,OK
0019_0663_5,15,15,1e-06,OK
0019_0664_5,13,13,1e-06,OK
0019_0665_5,15,15,9.25926e-07,OK
0019_0666_5,16,16,9.79167e-07,OK
0019_0667_5,16,16,9.79167e-07,OK
0019_0668_5,16,16,9.62963e-07,OK
0019_0669_5,17,17,9.79167e-07,OK
0019_0670_5,15,15,9.79167e-07,OK
0019_0671_5,13,13,9.62963e-07,OK
0019_0672_5,13,13,9.79167e-07,OK
0019_0673_5,13,13,9.375e-07,OK
